boost_title,boost_content,operator,msm_fields,msm_terms,fuzziness,precision,recall,mean_reciprocal_rank,dcg,error_count
0.5,0.5,or,1,50%,0,0.8500000000000001,0.7833333333333333,1.0,10.850275034733038,0
0.5,0.5,or,1,50%,AUTO,0.8500000000000001,0.825,1.0,11.025338333607554,0
0.5,0.5,or,1,75%,0,0.6375,0.65,0.75,7.457802268391246,0
0.5,0.5,or,1,75%,AUTO,0.6375,0.65,0.75,7.294140076426925,0
0.5,0.5,or,1,100%,0,0.5,0.125,0.5,3.5,0
0.5,0.5,or,1,100%,AUTO,0.5,0.25,0.5,3.2618595071429146,0
0.5,0.5,or,2,50%,0,0.5333333333333333,0.475,0.75,7.372045004292323,0
0.5,0.5,or,2,50%,AUTO,0.8041666666666667,0.5791666666666666,1.0,9.279777442685187,0
0.5,0.5,or,2,75%,0,0.125,0.0625,0.25,1.75,0
0.5,0.5,or,2,75%,AUTO,0.16666666666666666,0.125,0.25,1.9077324383928644,0
0.5,0.5,or,2,100%,0,0.0,0.0,0.0,0.0,0
0.5,0.5,or,2,100%,AUTO,0.0,0.0,0.0,0.0,0
0.5,0.5,and,1,50%,0,0.5,0.125,0.5,3.5,0
0.5,0.5,and,1,50%,AUTO,0.5,0.25,0.5,3.2618595071429146,0
0.5,0.5,and,1,75%,0,0.5,0.125,0.5,3.5,0
0.5,0.5,and,1,75%,AUTO,0.5,0.25,0.5,3.2618595071429146,0
0.5,0.5,and,1,100%,0,0.5,0.125,0.5,3.5,0
0.5,0.5,and,1,100%,AUTO,0.5,0.25,0.5,3.2618595071429146,0
0.5,0.5,and,2,50%,0,0.0,0.0,0.0,0.0,0
0.5,0.5,and,2,50%,AUTO,0.0,0.0,0.0,0.0,0
0.5,0.5,and,2,75%,0,0.0,0.0,0.0,0.0,0
0.5,0.5,and,2,75%,AUTO,0.0,0.0,0.0,0.0,0
0.5,0.5,and,2,100%,0,0.0,0.0,0.0,0.0,0
0.5,0.5,and,2,100%,AUTO,0.0,0.0,0.0,0.0,0
0.5,1.0,or,1,50%,0,0.8500000000000001,0.7833333333333333,1.0,10.90864253894993,0
0.5,1.0,or,1,50%,AUTO,0.8500000000000001,0.825,1.0,10.447304730914254,0
0.5,1.0,or,1,75%,0,0.6375,0.65,0.75,7.2363596472706515,0
0.5,1.0,or,1,75%,AUTO,0.6375,0.65,0.75,6.161881346377888,0
0.5,1.0,or,1,100%,0,0.5,0.125,0.5,3.5,0
0.5,1.0,or,1,100%,AUTO,0.5,0.25,0.5,2.708254137500101,0
0.5,1.0,or,2,50%,0,0.5333333333333333,0.475,0.75,7.350133128872898,0
0.5,1.0,or,2,50%,AUTO,0.8041666666666667,0.5791666666666666,1.0,8.63879532083722,0
0.5,1.0,or,2,75%,0,0.125,0.0625,0.25,1.75,0
0.5,1.0,or,2,75%,AUTO,0.16666666666666666,0.125,0.25,1.3541270687500504,0
0.5,1.0,or,2,100%,0,0.0,0.0,0.0,0.0,0
0.5,1.0,or,2,100%,AUTO,0.0,0.0,0.0,0.0,0
0.5,1.0,and,1,50%,0,0.5,0.125,0.5,3.5,0
0.5,1.0,and,1,50%,AUTO,0.5,0.25,0.5,2.708254137500101,0
0.5,1.0,and,1,75%,0,0.5,0.125,0.5,3.5,0
0.5,1.0,and,1,75%,AUTO,0.5,0.25,0.5,2.708254137500101,0
0.5,1.0,and,1,100%,0,0.5,0.125,0.5,3.5,0
0.5,1.0,and,1,100%,AUTO,0.5,0.25,0.5,2.708254137500101,0
0.5,1.0,and,2,50%,0,0.0,0.0,0.0,0.0,0
0.5,1.0,and,2,50%,AUTO,0.0,0.0,0.0,0.0,0
0.5,1.0,and,2,75%,0,0.0,0.0,0.0,0.0,0
0.5,1.0,and,2,75%,AUTO,0.0,0.0,0.0,0.0,0
0.5,1.0,and,2,100%,0,0.0,0.0,0.0,0.0,0
0.5,1.0,and,2,100%,AUTO,0.0,0.0,0.0,0.0,0
0.5,2.0,or,1,50%,0,0.8500000000000001,0.7833333333333333,1.0,10.219932356222202,0
0.5,2.0,or,1,50%,AUTO,0.8500000000000001,0.825,1.0,9.791326986579389,0
0.5,2.0,or,1,75%,0,0.6375,0.65,0.75,7.2363596472706515,0
0.5,2.0,or,1,75%,AUTO,0.6375,0.65,0.75,6.161881346377888,0
0.5,2.0,or,1,100%,0,0.5,0.125,0.5,3.5,0
0.5,2.0,or,1,100%,AUTO,0.5,0.25,0.5,2.708254137500101,0
0.5,2.0,or,2,50%,0,0.5333333333333333,0.475,0.75,7.153738498515712,0
0.5,2.0,or,2,50%,AUTO,0.8041666666666667,0.5791666666666666,1.0,8.409668252087169,0
0.5,2.0,or,2,75%,0,0.125,0.0625,0.25,1.75,0
0.5,2.0,or,2,75%,AUTO,0.16666666666666666,0.125,0.25,1.3541270687500504,0
0.5,2.0,or,2,100%,0,0.0,0.0,0.0,0.0,0
0.5,2.0,or,2,100%,AUTO,0.0,0.0,0.0,0.0,0
0.5,2.0,and,1,50%,0,0.5,0.125,0.5,3.5,0
0.5,2.0,and,1,50%,AUTO,0.5,0.25,0.5,2.708254137500101,0
0.5,2.0,and,1,75%,0,0.5,0.125,0.5,3.5,0
0.5,2.0,and,1,75%,AUTO,0.5,0.25,0.5,2.708254137500101,0
0.5,2.0,and,1,100%,0,0.5,0.125,0.5,3.5,0
0.5,2.0,and,1,100%,AUTO,0.5,0.25,0.5,2.708254137500101,0
0.5,2.0,and,2,50%,0,0.0,0.0,0.0,0.0,0
0.5,2.0,and,2,50%,AUTO,0.0,0.0,0.0,0.0,0
0.5,2.0,and,2,75%,0,0.0,0.0,0.0,0.0,0
0.5,2.0,and,2,75%,AUTO,0.0,0.0,0.0,0.0,0
